REPOSITORY                                           TAG                       IMAGE ID       SIZE
desktop-links                                        latest                    e5eff69884a1   70MB
desktop-caddy                                        latest                    c66f152bfcd4   111MB
mcr.microsoft.com/dotnet/sdk                         10.0                      dbdf92b5ee0e   917MB
ghcr.io/michal-ciechan/gym-stat-api                  v20260908175134-56ee535   d6726969f2dc   249MB
ghcr.io/michal-ciechan/gym-stat-api                  v20260906233325-b6c5080   76c1c2fad588   248MB
ghcr.io/michal-ciechan/gym-stat-api                  v20260906114549-950c3b7   2d91ad7c754f   248MB
ghcr.io/michal-ciechan/gym-stat-api                  v20260905170041-68ecad8   aadf558dda3f   248MB
gym-stat-regression/candidate                        v20260904172158-          829ea1c54a94   248MB
gym-stat-regression/candidate                        v20260904172259-b77017b   39391e4ed45a   248MB
ghcr.io/michal-ciechan/gym-stat-api                  v20260904174356-b77017b   39391e4ed45a   248MB
gym-stat-regression/candidate                        v20260904162929-7d5ab35   7af1450ab9e5   248MB
gym-stat-regression/candidate                        v20260903-7038ef1         18d38ad9d9c6   248MB
ghcr.io/michal-ciechan/gym-stat-api                  v20260904065919-7038ef1   18d38ad9d9c6   248MB
gym-stat-regression/candidate                        v20260903195400-33050b3   09adace0c27a   248MB
gym-stat-regression/candidate                        v20260903193300-0c9e087   9b464d757d83   248MB
gym-stat-regression/candidate                        v202609031731-5253aed     b9cb6d7c0cbc   248MB
gym-stat-regression/candidate                        v20260903102601-3156ee9   b89a0a3dfc75   248MB
ghcr.io/michal-ciechan/gym-stat-api                  v20260903074650-85ab350   46bbbffba239   248MB
gym-stat-regression/candidate                        v20260903080154-e59a929   e9132adc0c96   248MB
gym-stat-regression/candidate                        v20260903081055-e241877   2e2a06f67836   248MB
ghcr.io/michal-ciechan/gym-stat-api                  v20260902144935-8144949   c8cb4ae2fe2c   248MB
ghcr.io/michal-ciechan/gym-stat-api                  v20260902143944-9ed8c8b   97d789239462   248MB
ghcr.io/michal-ciechan/gym-stat-api                  v20260901182918-7a3b578   67aad9545259   248MB
ghcr.io/michal-ciechan/gym-stat-api                  v20260901183715-7a3b578   67aad9545259   248MB
ghcr.io/michal-ciechan/gym-stat-api                  v20260830191736           01716a7b3b50   248MB
ghcr.io/michal-ciechan/gym-stat-api                  v20260830154901           1c1adebe8196   248MB
ghcr.io/michal-ciechan/gym-stat-api                  v20260829172139           66557e8a8668   248MB
ghcr.io/michal-ciechan/gym-stat-api                  v20260828130923           3db13b28d21f   246MB
gym-stat-api                                         dev                       1850cc2484d5   246MB
ghcr.io/michal-ciechan/gym-stat-api                  v20260827134641           1bcfef3d46ea   246MB
mcr.microsoft.com/dotnet/aspnet                      9.0                       7aa32eb57052   224MB
postgres                                             17                        7296f210ae81   454MB
postgres                                             17.11                     7296f210ae81   454MB
mcr.microsoft.com/dotnet/aspnet                      10.0                      9bdfb7d1291d   230MB
ghcr.io/michal-ciechan/antiphon-messaging-telegram   2026-07-19                ee0586758a22   297MB
ghcr.io/michal-ciechan/antiphon-messaging-telegram   latest                    ee0586758a22   297MB
redpandadata/redpanda                                latest                    3232bf35b647   348MB
api                                                  candidate-telegram        b4d4d7b4b1b0   363MB
ghcr.io/michal-ciechan/api                           test-20260628195604       b4d4d7b4b1b0   363MB
ghcr.io/michal-ciechan/api                           test-20260624224327       dd4472bf47be   283MB
api                                                  prod-current              dd4472bf47be   283MB
postgres                                             16-alpine                 e684c11a6c7c   294MB
postgres                                             17-alpine                 126edd17cd7e   297MB
postgres                                             16                        f40a5645a21f   451MB
dpage/pgadmin4                                       9.12.0                    916774211e8d   563MB
docker.redpanda.com/redpandadata/redpanda            v25.3.4                   c017f9586dd4   480MB
postgres                                             17.6                      50903ccdcab5   453MB
mcr.microsoft.com/playwright                         v1.55.1-noble             9d1b88008ea6   2.66GB
docker.redpanda.com/redpandadata/redpanda            v22.2.1                   bf64169a3467   305MB

