branch,sha,card,cardStatus,cherryPlus,reason
"feat/card-task-0100d53d","b5642977820d4a30b6ad0e2043112f37e8703ba9","CARD-0118","Done","1","unique commits on a Done card"
"feat/card-task-0505ce7d","08d2d111761e982766d2e529be2b983ac1a6b185","CARD-0478","Done","1","unique commits on a Done card"
"feat/card-task-050cb713","21e9abed31b7debfe7ab92c465e40ce4bb83f3bb","CARD-0497","Done","1","unique commits on a Done card"
"feat/card-task-0998ad05","67f056a82087cca8a32cb6d42c3e4e8370c5cfb2","CARD-0408","Done","2","unique commits on a Done card"
"feat/card-task-0d48a707","29708a88ff35a5f12b943459a7b5f02f3069501c","CARD-0527","Done","1","unique commits on a Done card"
"feat/card-task-0d678e51","17c414fc84f2cac8511124d4aece748f7dc09477","CARD-0575","Done","3","unique commits on a Done card"
"feat/card-task-0eb35cd2","5378b6340711fe7b7658d67ba0e245ae4a05ec6e","CARD-0585","Done","1","unique commits on a Done card"
"feat/card-task-151b4e13","1ef62967820880e0e68e3e77519f5b699f91c91f","CARD-0527","Done","1","unique commits on a Done card"
"feat/card-task-157b7f62","ab19c051eb7c99b3458d662e9e564d9a5c652449","CARD-0146","Done","1","unique commits on a Done card"
"feat/card-task-17c504bb","8552dcbb80e8056b134690d1431f9f3d61def132","CARD-0210","Done","1","unique commits on a Done card"
"feat/card-task-1857c5d9","a0cd6ed9e59cd8cf80596c037788ac002acb8cd6","CARD-0005","Done","1","unique commits on a Done card"
"feat/card-task-1f1c67b6","23502557ca3c797768c8e12f251667e4b4c44c8e","CARD-0415","Done","3","unique commits on a Done card"
"feat/card-task-2853f966","29708a88ff35a5f12b943459a7b5f02f3069501c","CARD-0527","Done","1","unique commits on a Done card"
"feat/card-task-318daeb7","17c414fc84f2cac8511124d4aece748f7dc09477","CARD-0575","Done","3","unique commits on a Done card"
"feat/card-task-360e223e","4d2a95508024253dddd647b6f9c8f71f63341da5","CARD-0527","Done","1","unique commits on a Done card"
"feat/card-task-40597978","a567c18e9d1830136d04a5e77aa45b6735f4bc18","CARD-0208","Done","1","unique commits on a Done card"
"feat/card-task-48888860","3b021db9ddaef6a6b2d98de63d387d335082f8cb","CARD-0478","Done","4","unique commits on a Done card"
"feat/card-task-4adbee37","2680b1c6a9de7e9a9eea20df1c6e052b86d0afb4","CARD-0478","Done","4","unique commits on a Done card"
"feat/card-task-4fe68cac","56d5ad47d715ba6e5bfa305163b931362202d6d6","CARD-0575","Done","1","unique commits on a Done card"
"feat/card-task-5a8dada2","b0cbcaeaf329ee4ed2ee6eb428d3cbaa5029c5c8","CARD-0499","Done","2","unique commits on a Done card"
"feat/card-task-5e3ba4d4","e25550e78a2ed812341c0efc7099fddb02144b18","CARD-0575","Done","5","unique commits on a Done card"
"feat/card-task-6630ad4e","fc404dc760c27518f38728782971e0763c0b68fe","CARD-0476","Done","1","unique commits on a Done card"
"feat/card-task-6b037196","e25550e78a2ed812341c0efc7099fddb02144b18","CARD-0575","Done","5","unique commits on a Done card"
"feat/card-task-6cb9c0d9","6b2189863aa140d09c17f43f4286a0bb5e3a3b5b","CARD-0443","Done","4","unique commits on a Done card"
"feat/card-task-6d2a2060","a4b35bf3aef469318e2d8b77c04c17a964a76ec0","CARD-0527","Done","2","unique commits on a Done card"
"feat/card-task-7e73872f","d0a26a56890fa65ede0708592906abf74da3e5af","CARD-0467","Done","6","unique commits on a Done card"
"feat/card-task-a1d37ec8","7a2f11d28bc5fd1510744d0886286aea2a9acc51","CARD-0134","Done","1","unique commits on a Done card"
"feat/card-task-a5e37919","69de4489051a4c4b06af551bb8d1a903116ba5a9","CARD-0461","Done","3","unique commits on a Done card"
"feat/card-task-aaab8f81","4b90d575aa5d8a5ab40c3a7f6b88497b0588ef99","CARD-0544","Done","3","unique commits on a Done card"
"feat/card-task-b23741b2","59e5499b721be381fb6b49d3f2fe8e0e87b7293d","CARD-0527","Done","1","unique commits on a Done card"
"feat/card-task-b23d0fe2","b05c5f0a46af2c279f12f56d398fdf20bcc14b25","CARD-0527","Done","8","unique commits on a Done card"
"feat/card-task-b4e6383d","016fda9f554a08ceedfab5140112393b1cfdd370","CARD-0034","Done","1","unique commits on a Done card"
"feat/card-task-ba318e38","6f16fb61280b7e94b224a399943c295ac5f0b0bb","CARD-0575","Done","1","unique commits on a Done card"
"feat/card-task-bf31273c","dc2a7fd600ed03e208a5a5c039f7e3dfc3a6c680","CARD-0057","Done","1","unique commits on a Done card"
"feat/card-task-c7ff2da0-verification","d0720f9e156a75117e697549f7a0bdc30e3bf7a0","CARD-0395","Done","1","unique commits on a Done card"
"feat/card-task-ca4eef9c","9f2cd5f1680b43aadd777781efa673ba28d0bb64","CARD-0527","Done","1","unique commits on a Done card"
"feat/card-task-cd1d39f7","244316125c888af785a33363696861e73dc4517a","CARD-0478","Done","3","unique commits on a Done card"
"feat/card-task-d2117ffc","ba8e0717f57f457846f6ca3fa1b62d2376b6d4ee","CARD-0544","Done","1","unique commits on a Done card"
"feat/card-task-d9b02a4c","4dab0fb33d34762c9ce49b3371d7799962e0c9cf","CARD-0206","Done","1","unique commits on a Done card"
"feat/card-task-ea257e64","8e8f3e6b2195cb72e341b381105768d4deca97c1","CARD-0499","Done","2","unique commits on a Done card"
"feat/card-task-f1f3b5a8","9043b818f254df97d4d2c1b1a96fc0f3c568f097","CARD-0398","Done","1","unique commits on a Done card"
"feat/card-task-f450ecba","f20ff0430b942659601cbe1a2921d85baa72d5ac","CARD-0472","Done","1","unique commits on a Done card"
